Lambda,MQ,MoJoFM
0.0,0.78,0.55
0.2,0.75,0.62
0.4,0.72,0.69
0.6,0.68,0.80
0.7,0.66,0.837
0.8,0.64,0.82
1.0,0.58,0.75
1.2,0.52,0.68
1.4,0.47,0.60
